FileName,Classes,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/rnn_cell_impl.py,"_RNNCell(object):,","`MultiRNNCell`,,",name.,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/gradients_impl.py,"`AggregationMethod`.,","AggregationMethod(object):,","listing,","lists,",`AggregationMethod`.,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/nn_ops.py,"`j`,","`j`,","is,","dimension.,",for,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/accumulate_n_benchmark.py,AccumulateNBenchmark(test.Benchmark):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/nn_fused_batchnorm_test.py,BatchNormalizationTest(test.TestCase):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/nn_batchnorm_test.py,"BatchNormalizationTest(test.TestCase):,","SufficientStatisticsTest(test.TestCase):,","NormalizeMomentsTest(test.TestCase):,","MomentsTest(test.TestCase):,",WeightedMomentsTest(MomentsTest):,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/batch_norm_benchmark.py,BatchNormBenchmark(test.Benchmark):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/cloud/bigquery_reader_ops.py,BigQueryReader(io_ops.ReaderBase):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/concat_benchmark.py,ConcatBenchmark(test.Benchmark):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/quantized_conv_ops_test.py,Conv2DTest(test.TestCase):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/dequantize_op_test.py,DequantizeOpTest(test.TestCase):,,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/math_ops.py,"DivideDelegateWithName(object):,","to,",to,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/cloud/bigquery_reader_ops_test.py,"FakeBigQueryServer(threading.Thread):,","BigQueryRequestHandler(SimpleHTTPServer.SimpleHTTPRequestHandler):,",BigQueryReaderOpsTest(test.TestCase):,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/script_ops.py,"FuncRegistry(object):,","CleanupFunc(object):,",,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/gradient_checker_test.py,"GradientCheckerTest(test.TestCase):,",MiniMNISTTest(test.TestCase):,,,,,,,,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/gradients_test.py,"GradientsTest(test_util.TensorFlowTestCase):,","FunctionGradientsTest(test_util.TensorFlowTestCase):,","StopGradientTest(test_util.TensorFlowTestCase):,","PreventGradientTest(test_util.TensorFlowTestCase):,","HessianVectorProductTest(test_util.TensorFlowTestCase):,","HessianTest(test_util.TensorFlowTestCase):,","IndexedSlicesToTensorTest(test_util.TensorFlowTestCase):,","OnlyRealGradientsTest(test_util.TensorFlowTestCase):,",CompilationEnabledInGradientTest(test_util.TensorFlowTestCase):,,,,,,,,,,,,,,,,
E:/DR/tensorflow/python/ops/control_flow_ops.py,"GradLoopState(object):,","ControlFlowState(object):,","ControlFlowContext(object):,",,"CondContext(ControlFlowContext):,",WhileContext(ControlFlowContext):,,,,,,,,,,,,,,,,,,,
